,date,behavior,code,price,num,cash,close,profit,profit_new
0,20130801,buy,600515.SH,6.85,1400.0,10462.0,7.18,462.0,2245.364
1,20130802,--,600515.SH,7.16,1400.0,10532.0,7.23,532.0,2260.3874639648247
2,20130805,--,600515.SH,7.27,1400.0,10686.0,7.34,686.0,2293.43908468744
3,20130806,--,600515.SH,7.3,1400.0,10700.0,7.35,700.0,2296.4437774804046
4,20130807,--,600515.SH,7.3,1400.0,10924.0,7.51,924.0,2344.518862167845
5,20130808,--,600515.SH,7.38,1400.0,10896.0,7.49,896.0,2338.509476581915
6,20130809,--,600515.SH,7.44,1400.0,10700.0,7.35,700.0,2296.4437774804046
7,20130812,--,600515.SH,7.32,1400.0,10924.0,7.51,924.0,2344.518862167845
8,20130813,--,600515.SH,7.49,1400.0,10952.0,7.53,952.0,2350.528247753775
9,20130814,--,600515.SH,7.51,1400.0,11008.0,7.57,1008.0,2362.547018925635
10,20130815,--,600515.SH,7.53,1400.0,11232.0,7.73,1232.0,2410.622103613075
11,20130816,--,600515.SH,7.68,1400.0,11750.0,8.1,1750.0,2521.7957369527803
12,20130819,--,600515.SH,8.05,1400.0,11834.0,8.16,1834.0,2539.8238937105707
13,20130820,sell,600515.SH,8.1,0.0,11750.0,--,1750.0,2521.7957369527808
14,20130821,buy,600654.SH,7.58,1500.0,12275.0,7.93,2275.0,2634.4717166889686
15,20130822,--,600654.SH,7.86,1500.0,12215.0,7.89,2215.0,2621.594461861976
16,20130823,--,600654.SH,7.92,1500.0,11915.0,7.69,1915.0,2557.2081877270116
17,20130826,--,600654.SH,7.63,1500.0,12245.0,7.91,2245.0,2628.033089275473
18,20130827,--,600654.SH,7.92,1500.0,12380.0,8.0,2380.0,2657.006912636207
19,20130828,--,600654.SH,7.9,1500.0,12080.0,7.8,2080.0,2592.6206385012424
20,20130829,sell,600654.SH,7.77,0.0,12035.0,--,2035.0,2582.9626973809977
21,20130830,buy,000982.SZ,8.99,1300.0,12152.0,9.08,2152.0,2608.073344293634
22,20130902,--,000982.SZ,9.22,1300.0,12464.0,9.32,2464.0,2675.035069393997
23,20130903,--,000982.SZ,9.37,1300.0,12516.0,9.36,2516.0,2686.195356910724
24,20130904,sell,000982.SZ,9.28,0.0,12412.0,--,2412.0,2663.8747818772695
25,20130905,buy,600429.SH,7.53,1600.0,13244.000000000002,8.05,3244.000000000002,2842.4393821449044
26,20130906,--,600429.SH,7.9,1600.0,13211.999999999998,8.03,3211.999999999998,2835.356891990058
27,20130909,--,600429.SH,8.02,1600.0,13516.000000000002,8.22,3516.000000000002,2900.816270693939
28,20130910,--,600429.SH,8.22,1600.0,13355.999999999998,8.12,3355.999999999998,2866.262303574841
29,20130911,--,600429.SH,8.1,1600.0,12924.0,7.85,2924.0,2773.7606897342753
30,20130912,--,600429.SH,7.87,1600.0,13292.0,8.08,3292.0,2852.741186006498
31,20130913,--,600429.SH,8.0,1600.0,14316.000000000002,8.72,4316.000000000002,3072.51300172051
32,20130916,--,600429.SH,8.71,1600.0,14316.000000000002,8.72,4316.000000000002,3072.51300172051
33,20130917,--,600429.SH,8.67,1600.0,14876.0,9.07,4876.0,3192.700713439111
34,20130918,--,600429.SH,9.08,1600.0,14716.000000000002,8.97,4716.000000000002,3158.3613672337965
35,20130923,--,600429.SH,8.99,1600.0,14876.0,9.07,4876.0,3192.7007134391106
36,20130924,--,600429.SH,8.99,1600.0,15211.999999999998,9.28,5211.999999999998,3264.598719556488
37,20130925,sell,600429.SH,9.28,0.0,15211.999999999998,--,5211.999999999998,3264.598719556488
38,20130926,buy,600462.SH,5.23,2900.0,15240.999999999996,5.24,5240.999999999996,3270.822726056201
39,20130927,--,600462.SH,5.24,2900.0,15791.999999999996,5.43,5791.999999999996,3389.078849550753
40,20130930,--,600462.SH,5.47,2900.0,16632.999999999996,5.72,6632.999999999996,3569.575038042437
41,20131008,--,600462.SH,5.73,2900.0,16690.999999999996,5.74,6690.999999999996,3582.0230510418633
42,20131009,--,600462.SH,5.72,2900.0,16574.999999999996,5.7,6574.999999999996,3557.1270250430102
