:START_ID,:END_ID,:TYPE
6181a0586b0b3205b46e5cfba69a8e75,000063.SZ,employee
410edf75e857b148bf5ad46224b1309c,000063.SZ,employee
1ebcb83a583496fefad5cba78188a263,000063.SZ,employee
452f5e32b4e0a52a0b2208e838069f17,000063.SZ,employee
84f1bc1c762418dc0e1191302ca4b17f,000063.SZ,employee
f13e82866a295989e705499d931f3616,000157.SZ,employee
b7c4a2882fbfc6a8453579c671a023b1,000502.SZ,employee
5e4cc4d0987ff8d77a958adef6a210e6,000488.SZ,employee
5bf2b4dfd2a1a527d613d8b6e5bb1076,000151.SZ,employee
889567b6d86465865986b3e816897b34,000060.SZ,employee
62062b5bc9014bc638509ad196fd86cd,000416.SZ,employee
815d69ec81b37548af7df504468108fd,000409.SZ,employee
3eaa39291980bebd6516333e682bc922,000416.SZ,employee
a3b3188d5bbbb17546f39930b91539f4,000420.SZ,employee
488f928c7e0fdd831f597bf5b5b42bcd,000420.SZ,employee
dbabe6edf333f6b0af5026700401350a,000062.SZ,employee
d1dbe9de92e726f52895c269dfc62e13,000301.SZ,employee
596dcd266a456a0ba2ad52f8a08caded,000488.SZ,employee
46c3b2ea27deae59f7cc995603abfd9b,000338.SZ,employee
fadbce1134bcd189001cbbeb45de5294,000488.SZ,employee
de58b5019e687e3f424390bef3759a40,000400.SZ,employee
a46a69ff7226a257590ca0613ff326d2,000063.SZ,employee
c85214418ac5254a2e0b8d6b1f4f3a9e,000063.SZ,employee
89ca8ecb630989d1ca96dbde177c23f0,000063.SZ,employee
53f3099fdc0b4b7c7b142867053e6d79,000063.SZ,employee
a3e1903e246a41b0f402be4edfe4c78e,000063.SZ,employee
4d95c95a883bcde59dbf7e12fe84dd15,000014.SZ,employee
424f62bc13c44605b5e5e29bfa8e2b55,000151.SZ,employee
e447088563490e81ce2c2cb7154318a2,000151.SZ,employee
fa80afb8d4f2462310398d9bfc2e6225,000151.SZ,employee
14cdce99fd7153e3ce715879dd229e3a,000404.SZ,employee
2fd7acd1ae718c5f6f59c9a0d0d51f6b,000151.SZ,employee
39ea7a5534a62359215c30c30bb0ccd1,000421.SZ,employee
4ee9a340108ce2169cf97a74afb06bd6,000099.SZ,employee
db8c559211a132961560df1d53b0fe27,000099.SZ,employee
76127d9d108d6c881a3ccc8738b1607b,000099.SZ,employee
521e4a68a0c851f46cd1327cf2bdfb17,000099.SZ,employee
ee30efff34d210ec39e595d06653fb6b,000096.SZ,employee
be4e075f1e15b2c82f5581bbdbdec4e4,000423.SZ,employee
f1205134e1580f4d0796b492f0838787,000166.SZ,employee
026813e3b8d424f552afc1e74a1b9dfe,000166.SZ,employee
71752ecaa08711e7aebd94f980f67ef8,000166.SZ,employee
de95cf4528ac95d99ee5ec87ef3d8be8,000166.SZ,employee
3ea3a1b77bfa63f7bd4b8ce75825d946,000166.SZ,employee
c3f875b15765c81bbf08ddadb3ed706e,000062.SZ,employee
6af208f4b470065b4153f7133aa325a9,000166.SZ,employee
07dc5e3f04a75df8c0e2ff6d54f51d2e,000049.SZ,employee
27b221bed015b3100ca40d4de11a6a90,000062.SZ,employee
cda977b8c68ce69c9e91c664f15ab84a,000049.SZ,employee
098c9c66f662338381f1f4edbad3622e,000049.SZ,employee
c5017b6e54078d11806e863fa83d52be,000025.SZ,employee
5279106e1a699de2360849ddde1f7349,000400.SZ,employee
925d3e539c74ebd7b65e522f7976d57a,000400.SZ,employee
8d703394aa447b34ed53dbd686fee70b,000338.SZ,employee
cb1491bc01e2c42e801bba26c25feb7e,000063.SZ,employee
489f4cceb3e96ea1fcd59aff4bcaf180,000099.SZ,employee
449454977bad929635e7c2560e2101b2,000400.SZ,employee
4915022c04858c03c4d064e006eb4eb7,000400.SZ,employee
d5f6f6fc6c52eec574dd966b85851c8e,000401.SZ,employee
f2f93186499f499cd1a30c321077a9ae,000151.SZ,employee
fd6453923079789be5eacaf439f27675,000029.SZ,employee
335689d91a5415a4b4c9e90ee4267018,000039.SZ,employee
d5a8c5bd951b49e029018f8d22dcfcf2,000060.SZ,employee
ad524896f18e28b63c71382328e3ec14,000409.SZ,employee
1c55bb1d4c34ee94386f793b4db27160,000063.SZ,employee
6db82e9c27821da496239ad8060e8ea5,000050.SZ,employee
296327af003760b10b527bafc078d909,000014.SZ,employee
8f10b0f1b2500bf1bd2765877e0b1ebb,000338.SZ,employee
29f9d358655b7758a7dc71b1dbb7d479,000407.SZ,employee
ae5e08ab53113a91e3f2a21d8a0f2df5,000409.SZ,employee
b67c429ea415f9422d1028af1a5469d2,000407.SZ,employee
0a2ecc58807b4d94efadab528a4a89ae,000502.SZ,employee
83e887aa728999208b13e2b0958ee08a,000050.SZ,employee
feee1d3eb0062181d603da0a72debb6a,000420.SZ,employee
119c0ff9b2525a151966bf9f9b437b03,000151.SZ,employee
f2b11613e4820562e975a124364d86fc,000063.SZ,employee
d9d6e1e76889a688ae0058eeca0fb40b,000416.SZ,employee
3ae90104879ebd7bc05709b45fc0a115,000034.SZ,employee
1b6520132da9d53b3ae20348658dacdf,000031.SZ,employee
bf369119fb2ebfed31d3db098dceddf7,000157.SZ,employee
a4826e7cec4302e089b5a989ec63b8bc,000089.SZ,employee
488f928c7e0fdd831f597bf5b5b42bcd,000420.SZ,employee
4a864087925d9d398fe4d596d65ccef7,000420.SZ,employee
6b1847a92765feb4aad0c94916b8d598,000420.SZ,employee
8fd92f4f79feef9d97ff90d2ff2f3127,000089.SZ,employee
54b9162132207243fdb036fb170fe50d,000420.SZ,employee
13741b5aff0e4b3491049aa4ab1c16f4,000421.SZ,employee
189e6b7df936cc0adcf16c2b9639e0ee,000428.SZ,employee
108330114cbe37176b6dd05038bb3be3,000428.SZ,employee
ffacfec85fe5f316c11f2a9952a80985,000026.SZ,employee
6e7e12c264fb3e1f456b0782f47e4af6,000026.SZ,employee
6c991cfd581d984cee9bfbab008a2ef5,000096.SZ,employee
4d13c1b7f8724d874a65541e887f5ca2,000428.SZ,employee
518b767f41ef66b36f07d627ad7cd6bc,000429.SZ,employee
24627bf76b50e0de949cb0754ba88484,000429.SZ,employee
f0d40a859508707fa9282f33e00e8151,000429.SZ,employee
e49ed1dd4e43d842e81cf28264588243,000429.SZ,employee
39f6e9afb10fdf44362b9cc9717a8227,000099.SZ,employee
d9c477169f8c148605772b45f8b660c1,000099.SZ,employee
cefe27e7406cd657e590e77aa82739d3,000157.SZ,employee
de68f38b9ad239d705d4855b9c59a7f3,000301.SZ,employee
52ad8081095f6d58ed5e763bd9416678,000060.SZ,employee
73a94c23c574fc5236dc39c15482d2ea,000157.SZ,employee
7ba5c6d760d4c939f626cec846456145,000166.SZ,employee
d21e7644d1ab2c61b37761c4fbdf2555,000037.SZ,employee
5787f400becc1a45790997e3f2cf1de8,000049.SZ,employee
f29bce6e95d0441632bb339692ab0562,000037.SZ,employee
e97beccd406898643872949ddfffbee0,000488.SZ,employee
5ba868836b752b1c358d6f0cdc410da0,000037.SZ,employee
4abbf1e4f1926daacb6eac57d33b5f1b,000301.SZ,employee
e7aaf76c5c05d36021b72fd764489b39,000157.SZ,employee
1a9e96cdcd9b153f8d0eac894d280c63,000166.SZ,employee
dd483a831a1e916ff36dc6d34d2079ac,000166.SZ,employee
fd8f13f8b0401a14f5422105aa25ebe9,000037.SZ,employee
5177b8b6d2d03f5a1f20bef55a19b6f8,000157.SZ,employee
f07a3d03046ab5f6fe3a00566820faa6,000037.SZ,employee
e2c8a9c9609b0575ef98e9b8f354049a,000488.SZ,employee
0a03afe80d597c2f9ef0a8b80248f457,000338.SZ,employee
0e92a66c1d1501f5a3e8582d6603c0ab,000488.SZ,employee
d822b32a379aa1918def174913ad2551,000100.SZ,employee
cb4fc6e9459dfa7933b1572dabf4de6d,000060.SZ,employee
002ca864a65643a9c881ec7faca9cdaa,000039.SZ,employee
c393b9cfb106c5f8f1bcf1a3726b8438,000400.SZ,employee
9d6f3832079acdccc4eae1e8dcf9289c,000025.SZ,employee
82ed9e1ef118ed78dbf9d0071517720d,000400.SZ,employee
f08f4088403ef6461ec65355213cd20d,000420.SZ,employee
8c26e95d50019fff120f6d357422938c,000400.SZ,employee
fa767e38fc6cb77455a27c00e529fd21,000060.SZ,employee
8c26e95d50019fff120f6d357422938c,000400.SZ,employee
581ee5d214d5573b2f8ca432b2dd0491,000400.SZ,employee
43c4d6826805d0ab045043072b5cd722,000400.SZ,employee
2625f8d5724e6ab933257ed3cb17ca5d,000401.SZ,employee
240759606e3a3f97debea17b711efae2,000400.SZ,employee
77d7e1a51732778813213008fa3bcb7f,000400.SZ,employee
e6dc0eb79b933fc56aa646d5c19f0939,000400.SZ,employee
a6a9bad7df1895950d5c0876e2414bfd,000401.SZ,employee
e31cb59e9a8b3376023bedc072fa4e3c,000151.SZ,employee
c5250f00c68d5aa03d7d478ae9771ca3,000401.SZ,employee
bb531ef65eb91c72853f231274321d0e,000502.SZ,employee
6d24bf4a88d7cc2075a4977ce8042ea8,000011.SZ,employee
26f998cd2ee14738db257e00ce6daffd,000404.SZ,employee
d2735b14777b47577bdbdfc71b5f6f5d,000014.SZ,employee
ff1e62dec43b69c4bb31efcc3d1c96fc,000502.SZ,employee
f1a77e436419c80235d965a07359ec37,000039.SZ,employee
186c88d6339368b76c115e9135129237,000011.SZ,employee
115763fdc0cf2dcc5325b1429fd07a8e,000014.SZ,employee
abcb6a75a2a18e37aa4a98f4ed817a78,000014.SZ,employee
1d9b3ee5124533886bed4f59f00735bd,000404.SZ,employee
c3965649a37c77866ddb5a1c03c8b491,000029.SZ,employee
8694651daf0f3ff1491c8e33b05d34f7,000029.SZ,employee
387e38676840a85435f700eee97e414f,000404.SZ,employee
a1a6d99e64d356d42945f71bbf292f84,000050.SZ,employee
ab797704d0d66f6999fe796dda58fe27,000050.SZ,employee
d3cf331affbaa1d4216c5031dab2587e,000100.SZ,employee
44900cb9360163d73913d38383fabbd2,000409.SZ,employee
aca4a6415bacd94b8feabc1bb83dff6b,000409.SZ,employee
03e37b99e67a6dd3029fa7f712abb3b8,000037.SZ,employee
2d7b3d7a61e3cf1adb17d0e290a112af,000039.SZ,employee
fd78049bf4eeff01078e9ae093698343,000034.SZ,employee
a035f6de3ccc21e0c960954500a44cc9,000034.SZ,employee
0b3bce84f64074a22c8d87764d874300,000409.SZ,employee
8de5e2ad3343137b9deef5270c9cdd2c,000417.SZ,employee
59a6e7f7d3d95a6fb04dd0ba5d4d40e0,000031.SZ,employee
c58fb02a4072bcb30e2dd2ba21a8edd5,000409.SZ,employee
6ef2eb3938fe6af1bc09a161766ff1ac,000417.SZ,employee
e07444ee40e80d63abaf1b0696934842,000417.SZ,employee
a69091666ace4d9502b9332eab3bb07c,000417.SZ,employee
6821eb323500f6fc456a9f5a87af74c4,000420.SZ,employee
42e7492f7cd62847f85297b43aa4bf36,000420.SZ,employee
4a864087925d9d398fe4d596d65ccef7,000420.SZ,employee
5e6f003faf54ef1ba2caf8e086efa46c,000089.SZ,employee
b4ac28211bf1049dd51e495d958ff28c,000417.SZ,employee
dfc5218d5882b3e40b638a7edec1cbeb,000166.SZ,employee
4641543a6773f04fcc585a53f5a0bf4e,000421.SZ,employee
1229d6dbeb6c4622d8feeb2cfe7cf9bc,000421.SZ,employee
