,date,behavior,code,price,num,cash,close,profit,profit_new
0,20200103,buy,002447.SZ,3.36,2900.0,10406.0,3.5,406.0,4152.2408
1,20200110,--,002447.SZ,3.46,2900.0,10290.0,3.46,290.0,4105.954048817989
2,20200117,--,002447.SZ,3.44,2900.0,9507.0,3.19,-493.0,3793.5184783394193
3,20200123,sell,002447.SZ,3.2,0.0,9536.0,--,-464.0,3805.090166134922
4,20200207,buy,300267.SZ,4.75,2000.0,11096.0,5.53,1096.0,4427.567164789544
5,20200214,--,300267.SZ,5.56,2000.0,9956.0,4.96,-44.0,3972.6801273111664
6,20200221,--,300267.SZ,4.95,2000.0,10036.0,5.0,36.0,4004.60202467807
7,20200228,--,300267.SZ,5.3,2000.0,10076.0,5.02,76.0,4020.562973361522
